age,annual_income_k,spending_score
29,72.4,89.7
33,15.0,11.2
40,38.6,66.0
57,31.8,90.8
26,53.6,17.7
49,46.5,96.9
32,79.9,45.8
54,15.0,94.6
30,61.1,68.0
22,74.0,30.9
28,106.4,19.6
27,48.0,31.1
69,68.1,10.2
30,15.0,15.2
58,15.0,11.4
63,81.1,42.9
67,59.9,79.8
32,89.5,15.0
59,25.7,13.9
24,73.0,64.7
57,106.7,20.5
45,70.5,10.7
49,66.9,17.5
52,60.2,92.4
32,20.7,82.3
65,93.9,36.1
53,44.7,65.9
38,72.6,54.2
23,20.9,68.0
18,30.5,68.6
21,95.9,63.2
28,51.3,27.3
61,96.3,4.9
43,58.0,46.1
54,15.0,89.2
40,82.3,57.4
46,45.3,83.4
38,77.5,99.2
65,60.6,17.2
62,21.4,69.5
62,64.1,67.8
66,114.9,98.0
44,72.3,98.6
56,58.6,69.0
57,86.9,25.1
30,65.3,80.1
40,65.2,11.6
33,32.7,78.3
47,65.8,91.1
21,85.9,38.9
57,39.1,63.4
33,95.6,43.6
48,57.7,44.3
59,37.8,31.7
42,84.9,76.5
61,52.8,93.7
29,79.0,94.1
43,52.7,18.3
54,58.5,87.6
65,72.3,74.0
50,67.3,26.0
45,15.0,7.7
26,32.0,27.5
29,83.2,91.3
22,56.7,63.7
69,46.9,72.4
45,26.0,26.5
52,33.0,72.2
22,15.0,3.8
51,57.5,38.2
63,45.0,63.0
51,35.8,15.5
30,58.3,82.5
56,69.1,24.3
59,112.3,65.6
62,22.2,41.1
65,89.0,60.0
31,84.3,11.6
28,40.5,2.7
59,65.1,91.0
55,48.6,27.7
21,64.6,82.1
50,97.7,99.9
24,75.1,21.9
58,72.7,27.3
25,49.2,66.6
54,22.9,96.6
68,54.8,91.7
27,90.2,50.8
60,21.8,79.7
32,33.6,14.4
55,63.2,97.8
32,35.4,96.5
22,40.2,17.2
46,49.4,30.6
36,25.9,10.9
68,35.6,27.9
27,77.6,81.8
29,27.3,38.5
21,20.1,9.8
48,44.2,34.9
35,78.3,98.2
33,55.1,63.3
57,48.4,42.2
53,61.1,17.5
42,16.4,98.6
40,72.4,82.3
29,69.6,28.9
51,49.8,7.9
53,85.1,6.6
54,31.8,12.9
20,88.2,58.5
26,63.9,92.9
35,51.6,50.2
60,59.5,84.5
52,57.3,45.1
51,90.5,71.1
58,33.1,73.5
31,40.9,18.2
21,85.9,36.8
46,45.1,64.1
58,82.5,8.0
62,102.5,36.8
67,50.0,53.9
32,77.0,99.6
45,31.2,48.0
59,78.9,81.8
33,65.0,43.8
29,71.8,79.8
69,43.9,59.9
22,18.5,88.8
51,72.6,41.7
59,15.0,60.8
18,52.1,63.4
56,83.5,42.3
49,64.8,15.3
43,108.7,10.3
34,85.6,2.7
65,43.7,87.5
44,60.7,24.4
41,58.8,21.9
52,20.4,73.9
63,36.5,32.7
59,46.0,51.1
56,15.0,17.1
43,61.2,96.0
66,53.8,85.3
55,18.2,86.5
40,70.1,41.3
39,77.9,76.5
21,65.7,15.2
66,51.9,1.9
26,74.8,3.0
21,77.0,59.1
24,67.7,46.1
40,39.4,52.3
19,66.9,1.7
66,89.9,42.8
41,45.1,72.1
57,112.4,44.8
48,46.9,73.5
64,60.8,24.1
48,43.2,81.5
64,65.6,59.3
57,16.4,21.9
65,46.3,24.4
68,32.7,63.2
60,63.4,83.2
51,84.9,42.1
41,76.2,26.6
66,15.0,86.8
43,111.1,67.3
33,67.4,45.4
64,40.6,49.3
30,63.9,21.2
32,64.4,63.1
44,43.3,36.5
21,64.9,99.6
33,44.8,48.5
47,49.9,49.1
61,42.8,57.0
47,24.2,91.8
53,63.6,80.3
20,74.6,45.7
39,72.9,72.2
66,80.5,59.0
39,68.1,49.7
67,46.7,20.0
67,81.0,46.9
66,26.1,25.3
29,37.5,91.6
38,35.9,34.2
21,87.0,95.3
48,83.6,53.8
61,72.2,63.5
48,86.8,54.8
40,38.0,13.8
37,68.7,38.2
32,56.9,10.8
40,81.2,62.7
45,57.1,45.2
33,50.4,78.0
54,73.5,22.8
38,81.9,17.3
32,43.3,41.2
34,58.5,92.7
67,33.5,71.3
54,15.0,42.5
30,65.0,52.2
36,75.2,9.3
47,66.6,98.5
62,15.0,67.0
35,51.2,29.3
31,15.0,59.0
53,94.2,11.8
53,32.8,96.6
37,91.4,18.3
69,83.6,65.2
36,37.5,25.3
62,31.7,72.0
61,68.8,77.9
24,38.9,67.7
61,62.6,61.8
21,47.9,89.4
51,15.5,8.8
19,15.0,33.8
22,65.7,25.6
27,46.0,98.8
49,46.2,39.5
59,77.4,73.5
58,89.3,68.8
30,53.2,22.0
56,51.5,24.7
22,72.5,28.8
27,26.1,41.7
27,65.6,24.2
55,73.8,2.9
44,77.0,88.1
68,15.0,96.6
38,41.0,34.8
25,38.0,34.5
18,62.5,1.7
45,72.0,68.3
66,97.4,82.7
56,47.6,15.5
31,47.6,16.8
38,88.7,79.2
47,67.4,62.0
38,91.7,5.4
66,67.2,62.6
26,31.1,31.6
34,26.7,37.5
22,21.2,77.2
48,76.6,81.3
69,89.7,40.6
57,106.2,94.8
55,81.1,41.2
60,89.1,77.4
36,45.5,48.9
53,31.1,89.9
67,81.3,90.9
50,70.4,9.7
30,62.7,93.7
31,69.7,82.7
50,68.1,79.3
46,92.1,20.9
60,92.4,80.7
66,73.6,85.2
53,81.1,29.6
61,72.9,95.3
27,48.5,5.9
48,78.9,15.8
23,25.1,54.2
18,86.3,58.0
24,30.1,64.9
44,67.1,2.7
38,38.9,96.1
45,73.8,5.4
33,59.2,15.2
63,20.1,2.4
40,70.5,57.1
69,45.6,93.3
37,82.0,66.9
55,60.0,82.4
42,69.9,2.3
45,36.1,54.7
22,45.3,46.5
38,48.5,50.4
35,81.4,8.1
64,101.9,68.8
23,39.9,50.8
46,86.9,76.7
36,15.0,49.0
50,30.1,15.8
18,36.0,65.2
62,26.2,18.1
20,20.4,87.4
59,70.3,61.7
38,54.6,16.6
52,69.5,96.3
