area_sqft,bedrooms,bathrooms,house_age,location_score,price
1832.0,3,3,19,1.7,261817.0
2455.0,5,3,24,2.5,354867.0
1498.0,5,1,5,1.5,238831.0
1776.0,2,3,35,5.5,253406.0
1984.0,2,2,1,2.0,292131.0
1710.0,3,3,21,2.0,270159.0
2277.0,1,1,31,9.5,344259.0
696.0,5,3,15,8.9,152361.0
3011.0,3,3,17,5.1,418575.0
2229.0,4,1,4,9.9,324352.0
1713.0,4,1,35,1.0,223081.0
1524.0,3,2,29,6.5,203818.0
1367.0,5,3,44,6.5,243694.0
2123.0,3,2,18,5.1,312350.0
2297.0,5,3,22,4.6,341351.0
1719.0,2,3,33,5.1,240713.0
2353.0,3,2,12,4.7,341770.0
1346.0,5,3,42,7.6,225549.0
1258.0,3,3,28,2.2,176568.0
2707.0,3,3,35,2.8,348804.0
2096.0,5,1,21,2.6,299062.0
4016.3862742215033,5,2,46,3.4,341625.0
1373.0,1,1,35,5.7,187496.0
1338.0,3,2,8,2.0,211187.0
1621.0,4,2,38,8.8,281769.0
1388.0,3,3,18,3.7,241617.0
2153.0,3,2,37,2.5,292962.0
1424.0,5,1,5,7.1,255594.0
1214.0,3,1,46,1.3,166613.0
1871.0,3,1,14,6.6,256807.0
1155.0,4,2,19,7.3,205955.0
900.0,5,1,8,2.9,159824.0
1867.0,3,2,31,1.4,246978.0
925.0,2,1,3,4.3,152686.0
2188.0,1,1,49,1.9,263168.0
4016.3862742215033,4,2,17,2.0,164645.0
680.0,3,1,4,3.3,124235.0
1653.0,2,3,19,3.7,233674.0
1872.0,3,2,22,5.8,241551.0
2046.0,3,2,10,15.680339294760127,292064.0
1886.0,5,2,36,6.3,296754.0
4016.3862742215033,5,3,21,2.3,229878.0
2157.0,5,2,3,2.5,285732.0
2280.0,2,1,28,8.9,315844.0
1197.0,3,1,43,6.0,192912.0
1709.0,1,1,33,8.8,263053.0
1663.0,4,2,12,4.3,253958.0
1910.0,5,1,41,6.5,281058.0
1698.0,5,2,8,5.7,299356.0
1766.0,3,1,41,3.9,256961.0
2121.0,3,3,30,5.2,323399.0
1243.0,2,3,6,5.5,201239.0
2169.0,2,3,3,2.8,323785.0
2371.0,5,3,18,3.8,325144.0
2617.0,3,2,41,8.1,391108.0
728.0,1,1,29,9.2,134762.0
1709.0,4,3,30,4.2,266014.0
817.0,3,2,34,3.8,125261.0
582.0,3,3,20,2.8,90630.0
1872.0,2,3,30,7.1,283756.0
1600.0,4,2,18,3.9,256571.0
1950.0,5,2,30,9.9,334040.0
2043.0,3,1,31,3.9,291182.0
2424.0,5,1,1,4.5,364502.0
1827.0,3,3,9,6.4,275783.0
3262.0,5,3,1,8.2,501552.0
1953.0,4,1,1,5.2,282426.0
2721.0,2,1,23,4.8,379926.0
634.0,4,2,16,10.0,162420.0
2475.0,1,1,31,1.1,303339.0
1710.0,2,1,15,9.1,279689.0
826.0,4,3,15,2.3,169642.0
2010.0,1,1,45,8.1,289260.0
1649.0,3,3,38,6.6,245373.0
-317.2662742215034,3,1,30,4.1,300740.0
2306.0,5,2,42,8.9,344198.0
1055.0,2,1,23,1.1,156719.0
2307.0,3,1,0,15.680339294760127,300463.0
1803.0,2,1,10,6.1,263455.0
2476.0,3,3,20,4.2,339807.0
-317.2662742215034,5,2,3,6.5,299989.0
1565.0,4,1,6,1.2,246128.0
1814.0,5,3,25,2.0,278665.0
1851.0,1,2,46,2.1,236712.0
1469.0,3,3,49,2.7,222743.0
